epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8609538674354553,0.0010000000474974513,0.3837154507637024,0.9518505334854126,0.13283149898052216
1,0.9099056720733643,0.0010000000474974513,0.2434849739074707,0.9457420110702515,0.1379265934228897
2,0.9174004197120667,0.0010000000474974513,0.21935415267944336,0.9489759206771851,0.12571516633033752
3,0.925000011920929,0.0010000000474974513,0.20553122460842133,0.9673014879226685,0.09418164193630219
4,0.9268344044685364,0.0010000000474974513,0.19536876678466797,0.9439454078674316,0.132768452167511
5,0.9281970858573914,0.0010000000474974513,0.18979468941688538,0.9507725238800049,0.12192627787590027
6,0.9288259744644165,0.0010000000474974513,0.1900654435157776,0.9619116187095642,0.09985963255167007
7,0.9385744333267212,0.0005000000237487257,0.16468088328838348,0.9629895687103271,0.10043385624885559
8,0.9418762922286987,0.0005000000237487257,0.15210101008415222,0.9464606642723083,0.12466491013765335
9,0.9464360475540161,0.0005000000237487257,0.1438203901052475,0.9586777091026306,0.0984186977148056
10,0.9486896991729736,0.0002500000118743628,0.13952136039733887,0.9529284834861755,0.11057855188846588
11,0.9525681138038635,0.0002500000118743628,0.13114656507968903,0.9489759206771851,0.11269313842058182
