epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8818181753158569,9.999999747378752e-05,0.6503162980079651,0.9606557488441467,0.4849352240562439
1,0.9192456603050232,9.999999747378752e-05,0.5836964845657349,0.9651639461517334,0.4814729392528534
2,0.9338491559028625,9.999999747378752e-05,0.5601088404655457,0.9782786965370178,0.4541004002094269
3,0.9395551085472107,9.999999747378752e-05,0.5442097783088684,0.9819672107696533,0.4469440281391144
4,0.943230152130127,9.999999747378752e-05,0.5358598232269287,0.9774590134620667,0.44603657722473145
5,0.9493229985237122,9.999999747378752e-05,0.5244413018226624,0.9840164184570312,0.4362364709377289
6,0.9549322724342346,9.999999747378752e-05,0.5151836276054382,0.9799180030822754,0.4451451003551483
7,0.9568665623664856,9.999999747378752e-05,0.5096253156661987,0.9831967353820801,0.4297989010810852
8,0.9618955254554749,9.999999747378752e-05,0.5014491081237793,0.9868852496147156,0.4292077124118805
9,0.9596711993217468,9.999999747378752e-05,0.5064021944999695,0.9836065769195557,0.43391987681388855
10,0.9617021083831787,9.999999747378752e-05,0.4968053102493286,0.9811475276947021,0.4351981282234192
11,0.9656673073768616,9.999999747378752e-05,0.4923889636993408,0.9860655665397644,0.43010714650154114
12,0.9676015377044678,9.999999747378752e-05,0.4879476726055145,0.9840164184570312,0.43005844950675964
13,0.96624755859375,4.999999873689376e-05,0.48621606826782227,0.98647540807724,0.427374929189682
14,0.9711799025535583,4.999999873689376e-05,0.477702796459198,0.9831967353820801,0.43324971199035645
15,0.9719535708427429,4.999999873689376e-05,0.47619345784187317,0.9860655665397644,0.4282205402851105
16,0.9765957593917847,4.999999873689376e-05,0.4670872390270233,0.98647540807724,0.4249591827392578
17,0.9753385186195374,4.999999873689376e-05,0.4698067009449005,0.9889343976974487,0.4205000698566437
18,0.9732108116149902,4.999999873689376e-05,0.47264066338539124,0.9872950911521912,0.4224698841571808
19,0.9807543754577637,4.999999873689376e-05,0.4620552659034729,0.9852458834648132,0.4238976240158081
20,0.979593813419342,4.999999873689376e-05,0.46156272292137146,0.9881147742271423,0.42104455828666687
21,0.9757253527641296,4.999999873689376e-05,0.4683489501476288,0.9893442392349243,0.41915446519851685
22,0.9808510541915894,4.999999873689376e-05,0.4571962058544159,0.9881147742271423,0.421530544757843
23,0.9770793318748474,4.999999873689376e-05,0.465990275144577,0.9889343976974487,0.4176480770111084
24,0.978723406791687,4.999999873689376e-05,0.46329253911972046,0.9893442392349243,0.41724762320518494
25,0.9814313054084778,4.999999873689376e-05,0.45728379487991333,0.9893442392349243,0.4167786240577698
26,0.9819148778915405,4.999999873689376e-05,0.4559946060180664,0.9893442392349243,0.4167012572288513
27,0.9772727489471436,4.999999873689376e-05,0.463298499584198,0.9909836053848267,0.41194626688957214
28,0.981141209602356,4.999999873689376e-05,0.45414718985557556,0.9905737638473511,0.414496511220932
29,0.9834622740745544,4.999999873689376e-05,0.4530222415924072,0.9905737638473511,0.4154929518699646
30,0.9773694276809692,4.999999873689376e-05,0.4613688290119171,0.9893442392349243,0.4162123501300812
31,0.9801740646362305,4.999999873689376e-05,0.457489937543869,0.9909836053848267,0.41236311197280884
32,0.9857833385467529,2.499999936844688e-05,0.4467577040195465,0.9881147742271423,0.41584232449531555
33,0.9802708029747009,2.499999936844688e-05,0.45504871010780334,0.992622971534729,0.411853164434433
34,0.9839458465576172,2.499999936844688e-05,0.4499424695968628,0.992622971534729,0.4111127257347107
